entropy_only,information_gain,kl_divergence,confidence_drop,semantic_entropy,ig_per_token,entropy_per_token,is_hallucinated,halu_type,model,task_type,composite,composite_v2
3.986445188522339,0.5946327447891235,10.01744146518788,-0.1112494170665741,1.291536808013916,"[1.4844684600830078, -0.5094485282897949, 4.846003532409668, 7.081426620483398, 1.1392583847045898, -2.8108878135681152, 6.72329568862915, 2.8419153690338135, -2.11972713470459, -1.5551691055297852, -0.6088888645172119, -4.989445209503174, -5.00020694732666, 2.105966091156006, 4.120670318603516, -5.793861389160156, 4.873919486999512, -1.032015323638916, -4.224846363067627, -4.820816516876221, -3.4596991539001465, -2.3507742881774902, -5.204613208770752, 1.0434184074401855, 2.71665620803833, -3.484769582748413, 3.8042895793914795, 4.086575508117676, -2.0008978843688965, 2.5843358039855957, 2.146421432495117, 3.855391263961792, -2.993245840072632, 4.0077223777771, 0.3613789677619934, -2.406470537185669, 2.738579034805298, 2.3849475383758545, 0.06353902816772461, 2.7967114448547363, 5.144556045532227, -0.2653813362121582, 0.1626129150390625, 1.810309886932373, 5.1491475105285645, -1.4816837310791016, -5.837718963623047, 2.554062843322754, 4.83148193359375, -1.113840103149414, 3.0324478149414062, -1.37839674949646, 4.441704750061035, 0.2169189453125, 0.36633992195129395, 0.6261436939239502, 1.3562731742858887, -1.0119209289550781, 4.039168357849121]","[6.674890518188477, 7.90794038772583, 3.8859832286834717, 0.02939702197909355, 5.339059352874756, 7.680911064147949, 0.2649758458137512, 2.6419856548309326, 7.402874946594238, 6.784462928771973, 4.483141899108887, 8.226088523864746, 6.533873558044434, 4.0069169998168945, 1.1680271625518799, 5.867406845092773, 0.23538121581077576, 3.052551746368408, 6.70220947265625, 6.361713886260986, 5.299854278564453, 6.476837158203125, 5.219559192657471, 3.676525115966797, 0.4484785199165344, 5.355986595153809, 0.32330575585365295, 0.7946500778198242, 5.490470886230469, 2.2433199882507324, 1.846500277519226, 0.3104303479194641, 3.2527995109558105, 0.3487643003463745, 0.3372949957847595, 2.498861312866211, 0.6430363655090332, 0.5860419273376465, 3.999969005584717, 3.2276721000671387, 0.10371207445859909, 1.4523894786834717, 5.075925827026367, 0.0919468104839325, 0.7232517600059509, 1.508195161819458, 5.892449378967285, 3.2283763885498047, 0.6157459616661072, 6.311978340148926, 2.1178321838378906, 4.183211803436279, 2.0196845531463623, 6.076105117797852, 2.241955041885376, 3.9967033863067627, 3.701078414916992, 1.3916159868240356, 1.754617691040039]",1,unsupported,llama-2-70b-chat,Data2txt,5.663362959886001,5.663362959886001
4.013071060180664,0.7899230718612671,9.295831989816255,-0.1205143555998802,1.224327564239502,"[0.4764862060546875, -2.583496570587158, -1.282001256942749, 3.3878886699676514, -0.09716510772705078, -1.8648138046264648, 1.2515449523925781, 2.2045886516571045, -3.806605339050293, 1.1922941207885742, 3.4629316329956055, -5.195342063903809, -0.9696817398071289, 3.364109992980957, 5.160993576049805, 2.6010308265686035, -2.5845508575439453, 1.1841588020324707, 4.190569877624512, 4.997947692871094, -0.03080892562866211, 2.2559409141540527, -0.20362639427185059, -6.469031810760498, -0.7957563400268555, -4.801393985748291, -4.107420921325684, 2.5161216259002686, 0.6920816898345947, -0.3162786662578583, -5.221756458282471, 4.835681438446045, -0.2698410153388977, -5.62978982925415, 4.448214054107666, 3.0051307678222656, 7.061204433441162, -2.222428798675537, -0.2695876359939575, 4.370193004608154, -0.17263126373291016, 4.448179244995117, 1.7093853950500488, -1.5657892227172852, -1.5815370082855225, 2.3121633529663086, 2.5131068229675293, -3.3441529273986816, 3.0282785892486572, 1.9186067581176758, 3.125377655029297, -3.3883423805236816, 1.8372981548309326, -0.884333610534668, 0.9141730070114136, 2.2902207374572754, -2.251695156097412, 4.919677257537842, 3.258596658706665, 1.8591254949569702, -3.2889719009399414, 2.103116273880005, -0.5807356834411621, 3.7618160247802734, 4.244544506072998, -2.931110382080078, 3.6995763778686523, 6.0536322593688965, 3.4584591388702393, 3.89085054397583]","[6.674890518188477, 7.90794038772583, 3.8859832286834717, 0.02939702197909355, 5.339059352874756, 7.680911064147949, 0.2649758458137512, 2.6419856548309326, 7.402874946594238, 6.539315700531006, 2.4998087882995605, 5.653441429138184, 8.259923934936523, 4.242065906524658, 0.9563820362091064, 4.3128132820129395, 7.639561653137207, 4.212201118469238, 3.675398588180542, 1.0559258460998535, 6.348832607269287, 0.22798079252243042, 3.183851718902588, 6.597202301025391, 7.033277988433838, 5.17181921005249, 4.121448040008545, 3.090313196182251, 3.5114901065826416, 0.3361445665359497, 5.234668731689453, 0.32218143343925476, 0.8508055210113525, 5.662018775939941, 2.2482242584228516, 1.6833056211471558, 0.18096469342708588, 3.20426869392395, 0.48373502492904663, 0.323612242937088, 2.5637803077697754, 0.6546334624290466, 0.403352290391922, 4.300746917724609, 3.365513324737549, 0.10179825872182846, 1.4727191925048828, 7.282040596008301, 2.2777998447418213, 0.12295940518379211, 1.4023081064224243, 6.580867290496826, 2.408543825149536, 6.295732498168945, 0.7354676723480225, 1.9422321319580078, 6.557137966156006, 0.06393291056156158, 1.775907278060913, 0.43855419754981995, 6.485784530639648, 2.0667126178741455, 4.151547908782959, 0.41354361176490784, 0.15463736653327942, 6.047211170196533, 1.4887827634811401, 0.10900532454252243, 1.5219523906707764, 1.7441526651382446]",1,contradictory,llama-2-13b-chat,Data2txt,5.282876803513083,5.282876803513083
3.4957783222198486,-0.2444213926792144,7.720055361760074,0.0208938904106616,1.575103998184204,"[0.19901609420776367, -2.8718204498291016, -1.6677043437957764, -3.0673274993896484, -3.0092086791992188, -1.4513168334960938, -5.91157865524292, -4.803194522857666, -0.2606358528137207, -0.632563591003418, -0.9140477180480957, -0.6297942399978638, -4.206853866577148, 0.005995035171508789, 2.0640668869018555, 1.1224842071533203, 5.524374485015869, 0.6870937347412109, -3.640056610107422, -2.9487671852111816, 0.4947171211242676, -1.022444725036621, 2.013333320617676, 2.418283462524414, -1.7307288646697998, -3.6908814907073975, 5.689685821533203, 3.7854251861572266, 1.888221025466919, -1.4873125553131104, 1.290271520614624, -4.217285633087158, -0.851599931716919, 2.2626917362213135, 1.5191023349761963, 5.3002166748046875, 3.2465503215789795, -0.007427692413330078, -1.4686369895935059, 0.347348690032959, -0.9792730808258057, -2.459043502807617, 3.8871278762817383, -0.9632282257080078, 0.8134932518005371, -3.4319987297058105, -1.2635471820831299, 0.4567899703979492, 0.30185794830322266, -0.7270960807800293, -2.391310691833496, 3.907775402069092, -4.397945880889893, -0.8271293640136719, -1.2954201698303223, 2.0155787467956543, 1.550278663635254, 2.2589609622955322]","[6.674890995025635, 7.907937526702881, 5.272168159484863, 7.069551467895508, 3.289449691772461, 5.714879035949707, 6.539056777954102, 4.818905830383301, 3.8570990562438965, 5.404490947723389, 7.137223243713379, 1.7373324632644653, 4.214475154876709, 3.1208016872406006, 3.070913314819336, 3.816920757293701, 0.5361355543136597, 4.80936861038208, 3.9844226837158203, 2.952519416809082, 3.746427536010742, 3.612908124923706, 0.42553389072418213, 3.4393439292907715, 4.074890613555908, 5.855983734130859, 0.24349333345890045, 0.0003511744143906981, 3.071784734725952, 4.605177879333496, 2.273146867752075, 4.220006465911865, 4.6852288246154785, 3.2486960887908936, 0.19552721083164215, 0.002785183023661375, 0.7257032990455627, 5.725817680358887, 5.531124591827393, 2.542696952819824, 3.8491415977478027, 5.184663772583008, 2.3796615600585938, 5.458576202392578, 4.226134300231934, 5.920016765594482, 4.41665506362915, 3.595719337463379, 4.31314754486084, 6.666474342346191, 3.323784112930298, 0.7504286766052246, 5.278071403503418, 3.2827842235565186, 3.5446364879608154, 0.36124855279922485, 4.171774864196777, 0.05349813774228096]",1,contradictory,mistral-7B-instruct,Summary,4.515001965275613,4.515001965275613
3.695420265197754,-0.1866842359304428,8.602651254525261,0.0289128720760345,1.6453003883361816,"[1.7554173469543457, -2.908203601837158, 0.5423355102539062, -3.1214652061462402, -1.098322868347168, -2.805238962173462, -1.8063256740570068, 4.135439872741699, -3.01889967918396, 0.5981659889221191, -0.986738383769989, 1.8102836608886719, 2.1642465591430664, -3.866147041320801, -5.500336170196533, -1.7180604934692383, -0.9674868583679199, -0.3206634521484375, -1.831113338470459, -3.6058249473571777, 1.5432789325714111, -0.06670713424682617, 1.4996435642242432, -1.8471306562423706, -4.433166980743408, -0.3843950629234314, 1.4861478805541992, 2.9521169662475586, 3.145765781402588, 4.322081089019775, -1.3682421445846558, 0.305561900138855, -1.9686040878295898, -3.13942813873291, 1.9232251644134521, 4.0884199142456055, -1.3316764831542969, -2.5086841583251953, -1.745856523513794, 2.762464761734009, 0.8889858722686768, -1.8944611549377441, 2.4683799743652344, 2.7176496982574463, -2.891571521759033, -4.7637176513671875, -2.0316338539123535, 0.22058916091918945, 2.0826363563537598, 4.400700569152832, 1.9002383947372437, -0.23270106315612793, 0.23560047149658203, 2.2600083351135254, -4.4301629066467285, 1.3332433700561523, 0.5313184261322021, -0.8377480506896973, -0.3813021183013916, 2.42859148979187, 4.082545757293701, -1.1280746459960938, -1.406099557876587]","[6.674890995025635, 7.907937526702881, 5.875324249267578, 5.089017868041992, 5.855486869812012, 5.4316935539245605, 3.94496488571167, 0.019417742267251015, 5.942108631134033, 4.609044075012207, 1.0609815120697021, 2.7576189041137695, 3.4711127281188965, 5.959293365478516, 6.074456214904785, 4.92305850982666, 4.045760154724121, 3.7594692707061768, 5.372267723083496, 4.624864101409912, 3.7534849643707275, 5.775264739990234, 2.6588246822357178, 3.4506304264068604, 5.2580671310424805, 1.104441523551941, 3.2164902687072754, 2.3562874794006348, 0.31189054250717163, 2.376471996307373, 2.858874797821045, 1.1895018815994263, 6.734975814819336, 5.576051712036133, 3.2741858959198, 2.0540904998779297, 6.810742378234863, 4.939181804656982, 3.6478376388549805, 2.853304147720337, 3.637098550796509, 5.959275722503662, 1.1364070177078247, 3.6128108501434326, 5.720950603485107, 4.771243572235107, 5.360839366912842, 5.278287410736084, 2.3009138107299805, 0.649064838886261, 1.2888449430465698, 2.769542932510376, 3.025714635848999, 2.405025005340576, 4.46574592590332, 2.0064189434051514, 2.9230246543884277, 5.039207458496094, 3.509169340133667, 3.2367970943450928, 3.126668930053711, 3.8929338455200195, 4.857205390930176]",1,contradictory,mistral-7B-instruct,Summary,4.983256009067335,4.983256009067335
3.857622385025024,0.7633765339851379,9.340177285671237,-0.1556902378797531,1.2386133670806885,"[1.7625131607055664, -4.058577537536621, 1.9829509258270264, 4.647172451019287, -0.3839292526245117, -0.7547755241394043, 5.37824010848999, 0.6436324119567871, -2.1104183197021484, -3.3550162315368652, 1.1445038318634033, -0.799727201461792, -0.11459851264953613, 3.073843479156494, -4.807408809661865, 2.2773327827453613, 3.4678986072540283, -1.2612390518188477, -4.9915595054626465, 1.4720678329467773, 0.7514798641204834, -1.911078929901123, -0.12511658668518066, 6.113795280456543, -0.3285102844238281, 1.5005069971084595, 3.9940481185913086, -4.494831085205078, 2.8390207290649414, 1.8498347997665405, 0.9430350065231323, 1.3519630432128906, 5.057469844818115, 3.3762242794036865, 2.4266276359558105, 3.755115032196045, -0.7431253790855408, 2.260633945465088, -0.24516654014587402, 6.135580062866211, 2.58726167678833, -1.907242774963379, -1.2751998901367188, 2.0259130001068115, -2.491363525390625, 0.5578384399414062, -0.998193621635437, 2.7418570518493652, -1.2226519584655762, -0.3309311866760254, -0.7199664115905762, -0.8819129467010498, 0.20098185539245605, 2.4897682666778564, 3.489145040512085]","[6.674890518188477, 7.90794038772583, 3.8859832286834717, 0.02939702197909355, 5.339059352874756, 7.680911064147949, 0.2649758458137512, 2.6419856548309326, 7.414917945861816, 6.002394676208496, 1.7281439304351807, 4.403395175933838, 2.1644175052642822, 0.8315536975860596, 6.094939231872559, 0.19911624491214752, 3.4109628200531006, 6.145997047424316, 6.616320610046387, 4.873532772064209, 2.0207951068878174, 3.038224220275879, 3.246519088745117, 0.4638020992279053, 4.850639343261719, 0.35883423686027527, 0.7553873062133789, 4.509706020355225, 2.2803187370300293, 1.5690051317214966, 0.3621896505355835, 2.585866928100586, 0.23920056223869324, 0.3821142017841339, 2.4919257164001465, 0.6043476462364197, 0.8151415586471558, 3.2894082069396973, 3.1097631454467773, 0.06177306920289993, 1.426262378692627, 6.346109867095947, 2.2799181938171387, 1.5740835666656494, 6.671044826507568, 2.2595016956329346, 2.735614061355591, 1.5277248620986938, 6.432076930999756, 3.787128448486328, 6.421149730682373, 2.1701273918151855, 3.634319305419922, 0.15998397767543793, 1.4127004146575928]",1,unsupported,llama-2-70b-chat,Data2txt,5.280744995176793,5.280744995176793
3.8351199626922607,0.729439914226532,9.960440639465574,-0.1658460646867752,1.2310348749160769,"[1.0940594673156738, 0.5268425941467285, 1.9260084629058838, 6.338092803955078, -0.7200212478637695, -2.728170394897461, 6.6058878898620605, 1.5039279460906982, -5.225686073303223, 0.5288095474243164, -1.2851371765136719, 2.547762393951416, 3.5615193843841553, 2.712176561355591, 2.437581777572632, -3.357240915298462, 2.1034791469573975, 2.9446167945861816, -4.169332027435303, -5.8943376541137695, -6.424370765686035, -4.683744430541992, -0.8453927040100098, -0.7805545330047607, 2.055365800857544, -1.4890637397766113, 0.8922269344329834, -1.1492772102355957, 4.554577350616455, 4.559823513031006, -3.760127067565918, 0.5713915824890137, 4.264892101287842, 1.4212456941604614, -0.26435375213623047, 2.728329658508301, 5.558038234710693, 1.477224349975586, 1.6644309759140015, 3.9214425086975098, -2.136859893798828, 1.3805162906646729, 0.6578021049499512, 2.9816038608551025, -1.024960994720459, 4.15736722946167, 4.126830577850342, 2.6857075691223145, -3.134812116622925, -0.24530363082885742, 0.06776952743530273, 5.39798641204834, 0.7666757106781006, 4.005102634429932, -1.9494166374206543, 1.8762588500976562, -2.3005752563476562, 2.974170446395874, 1.3947731256484985, -6.006690502166748, 0.3385138511657715, 3.9776532649993896, 0.2416595220565796]","[6.674890518188477, 7.90794038772583, 3.8859832286834717, 0.02939702197909355, 5.339059352874756, 7.680911064147949, 0.2649758458137512, 2.6419856548309326, 7.402874946594238, 5.448504447937012, 7.696847915649414, 4.279583930969238, 2.3783576488494873, 1.9008324146270752, 1.0506815910339355, 6.173137664794922, 0.23449309170246124, 3.335780143737793, 6.384650230407715, 7.024461269378662, 7.138859748840332, 6.5630693435668945, 5.49770975112915, 3.342674732208252, 3.7276837825775146, 3.5647542476654053, 0.46264585852622986, 4.9632954597473145, 0.40105825662612915, 0.8644505739212036, 5.360377788543701, 2.0734245777130127, 1.6107155084609985, 0.3488478660583496, 2.308077812194824, 0.342591792345047, 0.31788012385368347, 2.3967771530151367, 0.6277550458908081, 0.6066039800643921, 3.7469427585601807, 3.389155626296997, 0.0834500789642334, 1.3626348972320557, 6.616357326507568, 0.06627082079648972, 0.7286839485168457, 1.483096718788147, 6.04384183883667, 2.360384941101074, 4.115460395812988, 0.07038763910531998, 1.6955254077911377, 0.6542611122131348, 6.30035400390625, 2.486206531524658, 3.968195915222168, 0.53936767578125, 0.15393200516700745, 6.069707870483398, 1.931128740310669, 0.12076788395643234, 1.4171520471572876]",1,contradictory,mistral-7B-instruct,Data2txt,5.592861187860133,5.592861187860133
3.648626089096069,0.3263752162456512,9.847702750334372,-0.0645185634493827,1.294804334640503,"[0.6055135726928711, -2.530695915222168, 3.766533136367798, 5.243053436279297, -0.6032867431640625, -5.252273082733154, 5.035094261169434, -0.559197187423706, -5.40567684173584, -2.367708683013916, 3.316938877105713, -1.9953598976135254, -0.6477522850036621, -0.041429877281188965, 0.1294536590576172, 5.767867565155029, -0.7237424850463867, -6.703817367553711, 0.41745853424072266, -6.709176063537598, -3.387489080429077, -2.2324604988098145, 2.613856554031372, -3.509178638458252, 2.0358734130859375, 3.022162437438965, 3.5162625312805176, -2.9465396404266357, 5.544083595275879, 1.3348294496536255, -3.1705708503723145, -0.8170090913772583, 0.4535566568374634, 4.249700546264648, 2.7325828075408936, 3.877652406692505, -0.23165982961654663, 3.6118216514587402, 2.840573787689209, 1.7180583477020264, 0.22156929969787598, -0.17648005485534668, 6.141608715057373, 1.0913370847702026, -2.8638052940368652, 4.166471481323242, 5.530301094055176, -0.5324657559394836, -1.5060276985168457, -1.3624519109725952, -2.7905848026275635, -2.4090476036071777, -4.014128684997559, 1.9416011571884155, -0.21811723709106445, 2.185804843902588, -1.751375675201416, 0.9044113159179688, 1.5798206329345703, 0.05437898635864258, 0.8894059658050537, -3.971062421798706, 1.63983154296875, 4.545292854309082, -0.0798022449016571]","[6.674890518188477, 7.90794038772583, 3.8859832286834717, 0.02939702197909355, 5.339059352874756, 7.680911064147949, 0.2649758458137512, 2.6419856548309326, 7.402874946594238, 6.85701847076416, 2.137329578399658, 2.8068222999572754, 5.854706287384033, 0.942539393901825, 6.173885822296143, 0.24668656289577484, 3.391890525817871, 6.746530055999756, 6.087973594665527, 7.422884941101074, 3.9960596561431885, 2.3803892135620117, 3.5049965381622314, 7.185935974121094, 5.456238746643066, 4.2509636878967285, 0.39682766795158386, 4.810351371765137, 0.3594541549682617, 0.8069554567337036, 5.542901039123535, 2.2139511108398438, 1.5505372285842896, 0.2106577455997467, 2.5306875705718994, 0.21593168377876282, 0.29584401845932007, 2.4663023948669434, 0.5283399820327759, 0.30415838956832886, 3.7791755199432373, 3.3334152698516846, 0.05374330282211304, 1.4470161199569702, 7.374344348907471, 0.25286558270454407, 0.7126684188842773, 1.5004019737243652, 6.028495788574219, 2.9043350219726562, 5.920901298522949, 3.9824869632720947, 6.548209190368652, 1.9152151346206665, 5.232099533081055, 1.7493433952331543, 6.637539863586426, 0.3861943781375885, 1.3907382488250732, 6.443454742431641, 2.3624234199523926, 4.163315773010254, 0.12300118803977966, 1.6580603122711182, 0.5430929660797119]",1,contradictory,llama-2-7b-chat,Data2txt,5.5463319501624655,5.5463319501624655
4.078993320465088,0.5942731499671936,9.98360902412993,-0.1330328285694122,1.3565212488174438,"[1.1708717346191406, -1.703249454498291, 4.4215087890625, 5.846873760223389, 0.23154115676879883, -0.329864501953125, 5.233667850494385, 1.1203787326812744, -5.473772048950195, 1.2086315155029297, -2.553523540496826, -5.097143173217773, -2.8923516273498535, 0.9171489477157593, -1.606313705444336, 5.109712600708008, 0.5159742832183838, -6.031815528869629, -2.113893508911133, -3.7575109004974365, 0.9579267501831055, -1.0544296503067017, 1.9046218395233154, 0.2532779276371002, -0.11311054229736328, 3.081911087036133, 3.4462695121765137, 0.07724332809448242, 1.8684577941894531, 4.157195091247559, 2.842090606689453, -0.21903157234191895, 4.480011463165283, 3.0555131435394287, 1.2112655639648438, 0.2307460904121399, 1.8350927829742432, 3.124413013458252, 0.9454472064971924, 1.8878711462020874, 4.377323627471924, -2.3567419052124023, -3.2197728157043457, 2.4632439613342285, 3.595365524291992, -2.6132972240448, 5.909035682678223, 0.4962407350540161, -0.2765378952026367, 2.4117624759674072, -3.9889235496520996, 2.6164116859436035, -1.0983734130859375, 0.15665888786315918, -1.172670841217041, 2.25762939453125, 0.7930511236190796, -4.120183944702148, 2.7270233631134033, 1.6949931383132935, -2.591226816177368]","[6.674890518188477, 7.90794038772583, 3.8859832286834717, 0.02939702197909355, 5.339059352874756, 7.680911064147949, 0.2649758458137512, 2.6419856548309326, 7.402874946594238, 4.673976898193359, 4.725656986236572, 7.734954833984375, 4.3558783531188965, 1.1113723516464233, 6.21147346496582, 0.17787125706672668, 3.4007976055145264, 6.113411903381348, 6.1318440437316895, 7.145021915435791, 4.1873321533203125, 2.476789951324463, 3.519508123397827, 0.33343252539634705, 4.533071994781494, 0.35455596446990967, 1.1547552347183228, 5.720081806182861, 2.1676273345947266, 1.4244641065597534, 0.28618812561035156, 2.0531811714172363, 0.2708192765712738, 0.3062577247619629, 2.6350584030151367, 0.5432826280593872, 0.3921866714954376, 3.4866013526916504, 3.285630941390991, 0.05063064768910408, 1.416235089302063, 6.913481712341309, 5.55415678024292, 1.9016414880752563, 1.1276174783706665, 6.604663848876953, 0.005692663136869669, 1.9528392553329468, 6.285972595214844, 2.806001901626587, 6.265532493591309, 1.9657217264175415, 6.2757568359375, 3.221456527709961, 5.612893104553223, 3.7981338500976562, 1.7822145223617554, 6.553981781005859, 1.9126441478729248, 1.7496083974838257, 6.069945335388184]",1,contradictory,llama-2-70b-chat,Data2txt,5.663939424078973,5.663939424078973
3.2760181427001958,0.3842860758304596,10.484488700117383,-0.1276024430990219,1.2150253057479858,"[2.146656036376953, -2.768190860748291, 0.7698147296905518, 5.566379070281982, 1.5164361000061035, -3.0847043991088867, 4.268106937408447, 1.228632926940918, -5.250926971435547, -3.5235090255737305, -1.8107073307037354, 0.7800623178482056, 0.0724945068359375, -4.045048713684082, 4.02800178527832, -0.3281364440917969, -1.7680630683898926, -4.307474613189697, 1.4295125007629395, -0.8316597938537598, 1.0626015663146973, 1.9572486877441406, 0.7278063297271729, 4.955118656158447, 0.016507625579833984, 6.221606254577637, 0.8866994976997375, -0.8553552627563477, 0.3872487545013428, 0.4806241989135742, 0.4453244209289551, -0.49315738677978516, 1.3617069721221924, 2.0487966537475586, -2.118126392364502, 0.05922651290893555, -0.08119720220565796, -1.1632590293884277, 0.040136098861694336, 0.017115071415901184, 0.13188326358795166, -3.9593377113342285, -0.08380377292633057, 2.1975245475769043, -5.191732883453369, 2.630476474761963, 4.310972213745117, -5.590108394622803, 1.1462023258209229, 4.006560325622559, -1.6201329231262207, 0.27047622203826904, -3.235091209411621, 1.9611964225769043, -4.699146747589111, 0.09840238094329834, -1.346085548400879, 0.7063429355621338, -1.7326164245605469, 3.581188678741455, 0.36722373962402344, -0.5408039093017578, 2.8032803535461426, 1.8445303440093994, 1.2989683151245117, 1.8715837001800537, 4.684208393096924, 4.1132307052612305, 4.740750312805176, 2.0895352363586426]","[6.674890518188477, 7.90794038772583, 3.8859832286834717, 0.02939702197909355, 5.339059352874756, 7.680911064147949, 0.2649758458137512, 2.6419856548309326, 7.414917945861816, 8.517650604248047, 3.804251194000244, 1.8074196577072144, 1.2489863634109497, 6.275568962097168, 0.20192793011665344, 3.0562355518341064, 6.71015739440918, 6.403250217437744, 4.780849456787109, 3.5512490272521973, 0.5377411246299744, 3.4480247497558594, 3.1169397830963135, 0.5598573088645935, 4.5983967781066895, 0.28088220953941345, 0.7473605275154114, 5.501833438873291, 2.109619617462158, 1.5493574142456055, 0.3732609748840332, 2.5340797901153564, 0.30253487825393677, 0.3840077519416809, 2.482351064682007, 0.5437909364700317, 0.6265340447425842, 3.718796968460083, 3.2691566944122314, 0.07841143012046814, 1.6095585823059082, 7.128049373626709, 1.8018964529037476, 1.289607286453247, 6.703246593475342, 1.7884591817855835, 1.6709519624710083, 6.173247337341309, 2.1319427490234375, 0.8539364337921143, 6.605572700500488, 1.5139079093933105, 4.298781394958496, 1.9480342864990234, 5.861309051513672, 1.944851279258728, 4.169070243835449, 3.3373687267303467, 1.7527732849121094, 1.4163345098495483, 2.8335304260253906, 2.7774624824523926, 0.695132851600647, 1.1445858478546143, 2.5792012214660645, 0.02159637212753296, 0.713654100894928, 0.017759889364242554, 0.4316098988056183, 2.247274398803711]",1,unsupported,mistral-7B-instruct,Data2txt,5.791814046246665,5.791814046246665
3.8287429809570312,0.3514856994152069,9.7464170739986,-0.0893888175487518,1.3403130769729614,"[1.227196216583252, -1.8042058944702148, 2.295870065689087, 8.5047607421875, 0.15157699584960938, -2.576775550842285, 4.722759246826172, 4.297204971313477, -1.7134790420532227, -1.3188672065734863, -1.2970025539398193, 2.151221990585327, -2.153470993041992, -3.549593448638916, 0.566648006439209, 4.308298110961914, -3.8869876861572266, 4.026139259338379, 1.9137649536132812, -1.6563305854797363, -7.0001139640808105, -0.6467862129211426, -0.2780017852783203, -1.395057201385498, 1.9830341339111328, 1.379514217376709, -0.42705202102661133, 0.5063496828079224, 3.3784842491149902, 0.33180809020996094, -4.935896396636963, 1.8376572132110596, 2.6926944255828857, 3.071176528930664, 2.0545718669891357, 5.729824066162109, 4.402387619018555, -2.7859723567962646, 4.0687713623046875, 5.764113426208496, -2.8217713832855225, -3.2889344692230225, 1.1827877759933472, 1.0829780101776123, -2.7586565017700195, -0.41861534118652344, 3.086730480194092, -0.10025930404663086, 0.17918658256530762, -1.439429759979248, 1.9907581806182861, -5.091892242431641, 2.374295711517334, -3.457127094268799, 3.517299175262451, -0.9702918529510498, -3.5258727073669434, 3.4555606842041016, 1.297345519065857, -1.469465732574463, 0.30043482780456543, -4.186885356903076, 1.094010353088379, -1.4773354530334473]","[6.674890518188477, 7.90794038772583, 3.8859832286834717, 0.02939702197909355, 5.339059352874756, 7.680911064147949, 0.2649758458137512, 2.6419856548309326, 7.402874946594238, 6.570063591003418, 4.435157775878906, 3.540994882583618, 7.774422645568848, 3.5930585861206055, 2.2133493423461914, 0.8424110412597656, 6.2477030754089355, 0.17482620477676392, 3.340141773223877, 6.343775272369385, 7.107993125915527, 5.744082927703857, 4.361513614654541, 4.2978925704956055, 3.4973535537719727, 0.22999022901058197, 4.834198474884033, 0.36340487003326416, 0.8557896614074707, 5.306875705718994, 5.088678359985352, 0.016876952722668648, 2.0630581378936768, 0.09054947644472122, 2.50395131111145, 0.22878029942512512, 0.2529725730419159, 5.260384559631348, 0.7057275176048279, 0.20397643744945526, 3.3082351684570312, 3.5399036407470703, 0.05862725153565407, 1.3523504734039307, 6.857694149017334, 5.2151780128479, 1.5678240060806274, 5.184906482696533, 2.729823112487793, 5.803028106689453, 1.3963441848754883, 6.6566033363342285, 2.049835205078125, 6.126131057739258, 0.04266837611794472, 1.7817015647888184, 6.12791633605957, 3.7253360748291016, 1.7873953580856323, 6.037817478179932, 1.5595192909240723, 6.244530200958252, 1.9657959938049316, 1.5073338747024536]",1,unsupported,llama-2-70b-chat,Data2txt,5.528157506184653,5.528157506184653
